id,uid,title,score,date,content,,
,,Greatly Exceeded My Expectations!,5,,This was one of the things on my list to see in Singapore having watched some of the building on a TV special. It blew my mind. This is easily one of the best things I visited in the last few years. It is a MUST SEE for sure.,,
,,A must go,5,,The flower dome and the cloud forest is a mandatory experience I am would say. One cannot afford to miss the largest greenhouse of the world.,,
,,Must visit,5,,Of course this is a must see. I really enjoyed it despite it being a tourist attraction. On a Thursday night it wasn鈥檛 too crowded and we enjoyed the Christmas themed light show. Definitely worth your time and not too expensive. I wish I had known there were food options though because we would鈥檝e eaten there instead of an expensive restaurant at Marina Bay.,,
,,Must see in Singapore,5,,"Beautifully landscaped, relaxing, oasis away from the hustle and bustle of Singapore. Can definitely spend couple of hours here wandering around. At night the Light show is spectacular and while can be viewed from afar, impact is awesome from up close. Be prepared to contend with crowds at night but is a very enjoyable experience.",,
,,Put this on the list,5,,"A botanical and technological beauty, we went along with hard to impress teens, and they loved it too.",,
,,Peaceful and plenty of variety,4,,Lots of different themes here. Lush plants and a lot of bird life. Water features and raised boardwalks high above the gardens to take in the views. Well worth a visit - give yourself a lot of time to really enjoy it,,
,,Stunning!,5,,"A must see when in Singapore, we went here on a rainy day. We were surprised with an astounding array of flowers and the sheer scale of the place. Beautiful",,
,,Beautiful!,5,,The most to visit when you planning to go to Singapore!! You will not get bored if you visit this place!,,
,,Beautiful modern garden,5,,We went to both cloud dome and flower dome. It鈥檚 like a little oasis in the midst of hustle and bustle of urban Singapore. The flower dome always has different theme depending on the season. The garden area surrounding the domes is pretty and well maintained as well. Definitely worth a visit.,,
,,My Favorite Attraction whenever I鈥檓 in SG,5,,I love Garden鈥檚 by the Bay. It鈥檚 a very beautiful place to go to less crowds and best of all airconditioned. I鈥檓 always learning new landscaping ideas whenever I go here. This is my happy place. One of the most beautiful gardens on the planet.,,
,,I had to return - it is so beautiful and well done - great place for nature lover,5,,it is a unique place and so well done - I Simply had to return on my 4th visit to Sgp. An eye sight for a nature lover - though all arranged. The skywalk is amazing - what a sight! and all the Xmas decoration - wouh! - It has it's price as everything in Singapore.,,
,,Must see,5,,"It's a man-made nature park and is temperature control.Its one of the must see attractions of Singapore.It has flower dome and cloud forest.The flower dome has seven different gardens of different countries inside it .It has lots of exotic varieties of flowers and plants. Its aiconditioned .Cloud forest has plants which are found in tropical mountains and has a huge waterfall at the entrance.Its a cool,moist temperature control glass House.
There is an entry ticket to view these.
It's beautiful to see them in day and even in the evening with the lights it had a spectacular view.
One can walk around the supertree grove and the OCBC walkway is wonderful.
They have a musical light show at 7:45/8:45 pm and it's not to be missed as it's outstanding.The light show has no entry ticket.
One can easily spend 2-3 hours at the garden of bay.Watching the sunset from this place is also amazing.
It's definitely a place worth the visit",,
,,Nice park,5,,Take a stroll along the park while you enjoy the scenic view on sunrise and take a walk along the OCBC skywalk & supertree groove.,,
,,Beautiful City,5,,Garden by the bay is very beautiful. Many attraction and the flower domes are amazing. Lots to see and take photo!,,
,,Beauty beyond belief,5,,We went to the Flower Dome and the Cloud Forest. Both were spectacular. We have never been to anything garden as beautiful as these. Everything was so trimmed and taken care of.....GORGEOUS.,,
,,Wow....,5,,"The Gardens are beautiful...thoroughly enjoyed my wander around the gardens, it is amazing what they have achieved here, the walkways, waterfalls etc are lovely. Have been told they are even more spectacular at night when they are all lit up.",,
