id,uid,title,score,date,content,,,
,,A Singapore Must,5,,"At 165 metres high this is well worth the visit, the view you get during the 30 minute ride is astounding. The capsules are air conditioned and hold approximately 20 passengers, you have unobstructed views in all directions during the trip. There are great photo opportunities and a lot of information provided within the capsule.
This is a must do if you ever visit Singapore",,,
,,Nice view from the Sky,4,,"Nice view from the Singapore flyer, a little slow but good to experience. The car is very spacious and runs stable. We can enjoying Marina Bay and the River with most of the famous landmark can see under your eyes and take photos freely.",,,
,,Good view over Singapore,4,,A really goodood view over Singapore and surrounding areas with English commentary. 30 SGD per adult for 30 minutes ride.,,,
,,Great time spent,5,,On the wheel you get to see the whole city from above.The TV screens clearly identify all the city landmarks,,,
,,Slowly but surely,5,,"Great place to bring the family, especially if they鈥檙e seniors who prefer to be static! Albeit the occasional noisy children, it鈥檚 still worth a shot!",,,
,,Fly in the sky by Singapore Flyer,5,,Its really unforgettable experience to see Singapore from highest point of Flyer. Complete Singapore and almost all famous destination of Singapore saw from the flyer.,,,
,,Great views,4,,"Definitely one of the best places to get vast views of Singapore. We went during the day and could see into the distance. There are helpful videos and maps to make you see some relevant places. It goes slow so you can e joy. I think the entire journey takes somewhere around 30 minutes. The pods are huge and can fit a lot of people in, however, it may be less enjoyable if it is super crowded. Experience was more enjoyable for my parents than for me but a good family excursion.",,,
,,Top Marks,5,,"We did a city tour which included this attraction, and I must say it鈥檚 a must do. Smooth and easy and amazing panoramic views of one of the most impressive cities in the world . Will do again but next time at night.",,,
,,"Just a Ferris Wheel, not worth the money if you are staying at a tall hotel",3,,"It was expensive for what it was. I guess there are options to visit it with champagne and the like, but the standard is a ferris wheel with view over the coast, the Sands and the city.
We were there on a day with no waiting line, which was good.
The best part was grabbing icecream at the store right outside of the main building",,,
,,Not to be missed,5,,"A completely worthy experience. Not to be missed. Evening slot is the best time to be there. 6.30 preferably. Superb view of Singapore skyline. Lit up skyscrappers, the river, Marina Bay , gardens dome look amazing from the top. Spacious capsules with nice air conditioning and clear glasses through which u can click memorable pics. Worth every penny u spend on it.",,,
,,The best Ferris wheel ride is Asia!,4,,A technologically advance ferris wheel ride that can be a good elevated platform for viewing the whole of SG.Although it is not cheap but the whole experience is more than the value of the amount of the tickets.,,,
,,WoW,5,,Flying high 鉁ㄢ湪- Move a bit slow exited. We went at night can see very colorful light view. Love it. 馃憣鉁岎煄?,,,
,,Good to visit,4,,you will get to see the Citys panorama and is easy going for people who are scared with hights. Spacious and curteous staff. Eateries and shopping around the flyer,,,
,,Wonderful,4,,"The second biggest Ferris wheel in the world. I thoroughly enjoyed it. The views were spectacular. If you go to Singapore, don't miss out. Go!",,,
,,Great experience,5,,"Loved it. Speed is slow enough to take in the views. Clean pods, good size, views are 360. Good friendly staff service. Thank you.",,,
,,Nighttime view of the city,5,,A wonderful way to enjoy and appreciate the skyline view of the city at night! The staff were very friendly. Must do!,,,
,,What an amazing sight!,5,,Flying high - beautiful experience. Moves slowly (for the nervous) and makes for a spectacular photo opportunity. We went a night and loved it!,,,
,,$29.90 for 30min,4,,You can view Singapore's beautiful nig ht scene at here. Just pay $29.90 which took for around 30min. It's enjoyable.,,,
,,WOW,5,,"Its a wonderful ride, The view of Singapore city from this flyer was superb. If you visit Singapore don't miss this ride. And it cost you 33 Singapore $.",,,
,,Boasting The Best View of Singapore,5,,And indeed it does. We were lucky to be the first riders on the morning we went so the pod was ours to walk around and enjoy the most spectacular view of Singapore without noise or any jostling for the best photo position. The ride takes 30 minutes and provides a 360 degree view of this wonderful city out to the coast of Indonesia. The day was sunny but I think this attraction is worth the experience regardless of the weather. Next time I would like to book the evening champagne ride just to have the background of the city lights. The cost was $33 SGD per person. Worth every cent. Fabulous experience.,,,
,,Mini vacation,4,,"View of the whole Singapore - fantastic from the FLIER, and specially in evening when the whole city is live with lights",,,
,,Amazing views,5,,We loved the amazing views of Singapore! You are moving so slowly you don't even realise that you are moving! This is an absolute must do when visiting Singapore.,,,
,,Great nightview on singapore flyer,5,,"The singapore flyer is a must whilst in aingapore at night time before you leave if your visiting!! As it truly shows the beauty of the city lit up at night from over 160 meters in the air!
Very good price of $33SGD for adults tho they have special deals for abit more where you can have alcholic drinks on your ride(singapore slingers) and a few other packages.",,,
